('thank', array([[ 0.99522839,  0.00477161]]))
('article', array([[ 0.99508434,  0.00491566]]))
('thanks', array([[ 0.99502538,  0.00497462]]))
('could', array([[ 0.99448422,  0.00551578]]))
('please', array([[ 0.99436904,  0.00563096]]))
('section', array([[ 0.99308498,  0.00691502]]))
('agree', array([[ 0.99306783,  0.00693217]]))
('welcome', array([[ 0.99237233,  0.00762767]]))
('there', array([[ 0.9922658,  0.0077342]]))
('but', array([[ 0.9922227,  0.0077773]]))
('source', array([[ 0.9913971,  0.0086029]]))
('redirect', array([[ 0.99024496,  0.00975504]]))
('after', array([[ 0.98960738,  0.01039262]]))
('which', array([[ 0.98947914,  0.01052086]]))
('discussion', array([[ 0.98897249,  0.01102751]]))
('different', array([[ 0.98882518,  0.01117482]]))
('if', array([[ 0.98860782,  0.01139218]]))
('issue', array([[ 0.98784542,  0.01215458]]))
('though', array([[ 0.98750635,  0.01249365]]))
('for', array([[ 0.98746538,  0.01253462]]))
('to', array([[ 0.98739391,  0.01260609]]))
('ve', array([[ 0.98708503,  0.01291497]]))
('version', array([[ 0.98704395,  0.01295605]]))
('yes', array([[ 0.98648119,  0.01351881]]))
('add', array([[ 0.98640625,  0.01359375]]))
('would', array([[ 0.98635719,  0.01364281]]))
('important', array([[ 0.98625442,  0.01374558]]))
('point', array([[ 0.98608652,  0.01391348]]))
('wp', array([[ 0.98603846,  0.01396154]]))
('however', array([[ 0.98602732,  0.01397268]]))
('using', array([[ 0.98564055,  0.01435945]]))
('image', array([[ 0.98562772,  0.01437228]]))
('evidence', array([[ 0.98547091,  0.01452909]]))
('great', array([[ 0.98518156,  0.01481844]]))
('not', array([[ 0.98510804,  0.01489196]]))
('the', array([[ 0.98495491,  0.01504509]]))
('was', array([[ 0.98456347,  0.01543653]]))
('position', array([[ 0.98439255,  0.01560745]]))
('may', array([[ 0.98437234,  0.01562766]]))
('list', array([[ 0.98430232,  0.01569768]]))
('more', array([[ 0.98341163,  0.01658837]]))
('part', array([[ 0.98325375,  0.01674625]]))
('as', array([[ 0.98310109,  0.01689891]]))
('sure', array([[ 0.98287473,  0.01712527]]))
('sources', array([[ 0.9825761,  0.0174239]]))
('further', array([[ 0.98253607,  0.01746393]]))
('show', array([[ 0.98249746,  0.01750254]]))
('saw', array([[ 0.98223364,  0.01776636]]))
('review', array([[ 0.9822037,  0.0177963]]))
('see', array([[ 0.98220144,  0.01779856]]))
('email', array([[ 0.98205539,  0.01794461]]))
('request', array([[ 0.98193116,  0.01806884]]))
('added', array([[ 0.98182975,  0.01817025]]))
('barnstar', array([[ 0.98182429,  0.01817571]]))
('at', array([[ 0.98181159,  0.01818841]]))
('category', array([[ 0.98152639,  0.01847361]]))
('reply', array([[ 0.98150586,  0.01849414]]))
('done', array([[ 0.9813796,  0.0186204]]))
('wikiproject', array([[ 0.98136725,  0.01863275]]))
('talk', array([[ 0.98115443,  0.01884557]]))
('doubt', array([[ 0.98113696,  0.01886304]]))
('ok', array([[ 0.98111133,  0.01888867]]))
('took', array([[ 0.98111114,  0.01888886]]))
('maybe', array([[ 0.98107652,  0.01892348]]))
('better', array([[ 0.98101305,  0.01898695]]))
('issues', array([[ 0.98092334,  0.01907666]]))
('in', array([[ 0.98091467,  0.01908533]]))
('how', array([[ 0.98080954,  0.01919046]]))
('idea', array([[ 0.98079071,  0.01920929]]))
('regarding', array([[ 0.98073566,  0.01926434]]))
('link', array([[ 0.98071715,  0.01928285]]))
('ask', array([[ 0.98068932,  0.01931068]]))
('best', array([[ 0.9806108,  0.0193892]]))
('policies', array([[ 0.98048829,  0.01951171]]))
('mail', array([[ 0.98047879,  0.01952121]]))
('explain', array([[ 0.98040046,  0.01959954]]))
('moved', array([[ 0.98039246,  0.01960754]]))
('interest', array([[ 0.98039004,  0.01960996]]))
('thoughts', array([[ 0.98028809,  0.01971191]]))
('that', array([[ 0.98028466,  0.01971534]]))
('likely', array([[ 0.98020716,  0.01979284]]))
('any', array([[ 0.98009657,  0.01990343]]))
('feel', array([[ 0.98009335,  0.01990665]]))
('template', array([[ 0.98000379,  0.01999621]]))
('reasons', array([[ 0.97970882,  0.02029118]]))
('inappropriate', array([[ 0.97967454,  0.02032546]]))
('hi', array([[ 0.97957834,  0.02042166]]))
('notable', array([[ 0.97949468,  0.02050532]]))
('title', array([[ 0.97944687,  0.02055313]]))
('mentioned', array([[ 0.97940524,  0.02059476]]))
('statement', array([[ 0.97937451,  0.02062549]]))
('sorry', array([[ 0.9793522,  0.0206478]]))
('carry', array([[ 0.97930674,  0.02069326]]))
('asked', array([[ 0.97928108,  0.02071892]]))
('type', array([[ 0.97925051,  0.02074949]]))
('way', array([[ 0.97883319,  0.02116681]]))
('neutral', array([[ 0.97882454,  0.02117546]]))
('username', array([[ 0.97833313,  0.02166687]]))
('help', array([[ 0.97832969,  0.02167031]]))
('warring', array([[ 0.97832925,  0.02167075]]))
('references', array([[ 0.97827815,  0.02172185]]))
('were', array([[ 0.97821993,  0.02178007]]))
('started', array([[ 0.97821847,  0.02178153]]))
('might', array([[ 0.97820134,  0.02179866]]))
('16', array([[ 0.97809259,  0.02190741]]))
('rather', array([[ 0.97803842,  0.02196158]]))
('main', array([[ 0.97793807,  0.02206193]]))
('everything', array([[ 0.97793179,  0.02206821]]))
('justice', array([[ 0.97791623,  0.02208377]]))
('from', array([[ 0.97791522,  0.02208478]]))
('games', array([[ 0.9779019,  0.0220981]]))
('answer', array([[ 0.9778605,  0.0221395]]))
('here', array([[ 0.97782377,  0.02217623]]))
('reliable', array([[ 0.97781983,  0.02218017]]))
('photo', array([[ 0.97772289,  0.02227711]]))
('answered', array([[ 0.97768255,  0.02231745]]))
('side', array([[ 0.97752821,  0.02247179]]))
('watching', array([[ 0.9774076,  0.0225924]]))
('past', array([[ 0.97727454,  0.02272546]]))
('standard', array([[ 0.97724424,  0.02275576]]))
('looking', array([[ 0.97718523,  0.02281477]]))
('new', array([[ 0.97707764,  0.02292236]]))
('reference', array([[ 0.97705461,  0.02294539]]))
('future', array([[ 0.97696406,  0.02303594]]))
('besides', array([[ 0.97696075,  0.02303925]]))
('work', array([[ 0.97694121,  0.02305879]]))
('very', array([[ 0.9769223,  0.0230777]]))
('terms', array([[ 0.97686403,  0.02313597]]))
('letting', array([[ 0.97683908,  0.02316092]]))
('certainly', array([[ 0.97682906,  0.02317094]]))
('concerned', array([[ 0.97677254,  0.02322746]]))
('it', array([[ 0.9767663,  0.0232337]]))
('brought', array([[ 0.97675069,  0.02324931]]))
('fixed', array([[ 0.97643318,  0.02356682]]))
('oppose', array([[ 0.97638998,  0.02361002]]))
('cheers', array([[ 0.97625717,  0.02374283]]))
('cool', array([[ 0.97623791,  0.02376209]]))
('episode', array([[ 0.97623345,  0.02376655]]))
('question', array([[ 0.9762181,  0.0237819]]))
('comment', array([[ 0.9761867,  0.0238133]]))
('anymore', array([[ 0.9761652,  0.0238348]]))
('merge', array([[ 0.97610132,  0.02389868]]))
('utc', array([[ 0.97604373,  0.02395627]]))
('long', array([[ 0.97603938,  0.02396062]]))
('okay', array([[ 0.97598254,  0.02401746]]))
('religion', array([[ 0.97577873,  0.02422127]]))
('forward', array([[ 0.97574415,  0.02425585]]))
('into', array([[ 0.97572407,  0.02427593]]))
('suggestion', array([[ 0.9757149,  0.0242851]]))
('edited', array([[ 0.97570466,  0.02429534]]))
('also', array([[ 0.97570155,  0.02429845]]))
('exactly', array([[ 0.97564097,  0.02435903]]))
('nickname', array([[ 0.97563955,  0.02436045]]))
('game', array([[ 0.97557836,  0.02442164]]))
('alright', array([[ 0.97549182,  0.02450818]]))
('offer', array([[ 0.97547252,  0.02452748]]))
('interested', array([[ 0.97545961,  0.02454039]]))
('context', array([[ 0.97545552,  0.02454448]]))
('christmas', array([[ 0.97545529,  0.02454471]]))
('used', array([[ 0.97538519,  0.02461481]]))
('2008', array([[ 0.97533842,  0.02466158]]))
('says', array([[ 0.97525036,  0.02474964]]))
('football', array([[ 0.97519395,  0.02480605]]))
('book', array([[ 0.97515546,  0.02484454]]))
('statements', array([[ 0.97513461,  0.02486539]]))
('disruptive', array([[ 0.97507732,  0.02492268]]))
('good', array([[ 0.97506844,  0.02493156]]))
('explanation', array([[ 0.97500353,  0.02499647]]))
('adding', array([[ 0.97498452,  0.02501548]]))
('questions', array([[ 0.9749148,  0.0250852]]))
('health', array([[ 0.97488631,  0.02511369]]))
('3rr', array([[ 0.97483461,  0.02516539]]))
('deletion', array([[ 0.97483194,  0.02516806]]))
('cease', array([[ 0.97481935,  0.02518065]]))
('examples', array([[ 0.97478673,  0.02521327]]))
('edit', array([[ 0.97477706,  0.02522294]]))
