('you', array([[ 0.97045196,  0.02954804]]))
('fuck', array([[ 0.93835066,  0.06164934]]))
('your', array([[ 0.87366869,  0.12633131]]))
('fucking', array([[ 0.82030469,  0.17969531]]))
('stupid', array([[ 0.79305322,  0.20694678]]))
('stop', array([[ 0.79193235,  0.20806765]]))
('ass', array([[ 0.71813736,  0.28186264]]))
('suck', array([[ 0.71431527,  0.28568473]]))
('shit', array([[ 0.70851116,  0.29148884]]))
('off', array([[ 0.66622363,  0.33377637]]))
('me', array([[ 0.65125313,  0.34874687]]))
('guy', array([[ 0.65037903,  0.34962097]]))
('hell', array([[ 0.64185348,  0.35814652]]))
('asshole', array([[ 0.62396273,  0.37603727]]))
('people', array([[ 0.61007179,  0.38992821]]))
('life', array([[ 0.60625945,  0.39374055]]))
('dick', array([[ 0.595536,  0.404464]]))
('bitch', array([[ 0.574211,  0.425789]]))
('yourself', array([[ 0.55957676,  0.44042324]]))
('gay', array([[ 0.5559709,  0.4440291]]))
('racist', array([[ 0.54017877,  0.45982123]]))
('he', array([[ 0.52211373,  0.47788627]]))
('nazi', array([[ 0.51831973,  0.48168027]]))
('crap', array([[ 0.50309767,  0.49690233]]))
('get', array([[ 0.50216429,  0.49783571]]))
('go', array([[ 0.49343705,  0.50656295]]))
('up', array([[ 0.49006788,  0.50993212]]))
('my', array([[ 0.48628694,  0.51371306]]))
('dumb', array([[ 0.4694121,  0.5305879]]))
('kill', array([[ 0.46035886,  0.53964114]]))
('die', array([[ 0.46005627,  0.53994373]]))
('vandal', array([[ 0.45703333,  0.54296667]]))
('shut', array([[ 0.45269989,  0.54730011]]))
('sucks', array([[ 0.44980263,  0.55019737]]))
('hate', array([[ 0.44465118,  0.55534882]]))
('idiot', array([[ 0.42898175,  0.57101825]]))
('admins', array([[ 0.42624274,  0.57375726]]))
('nigger', array([[ 0.41711637,  0.58288363]]))
('penis', array([[ 0.41279537,  0.58720463]]))
('us', array([[ 0.41170392,  0.58829608]]))
('cunt', array([[ 0.39905181,  0.60094819]]))
('islamist', array([[ 0.39862457,  0.60137543]]))
('fool', array([[ 0.39714449,  0.60285551]]))
('nothing', array([[ 0.39375708,  0.60624292]]))
('disgusting', array([[ 0.39354067,  0.60645933]]))
('mother', array([[ 0.39324433,  0.60675567]]))
('who', array([[ 0.39122495,  0.60877505]]))
('ur', array([[ 0.38698596,  0.61301404]]))
('is', array([[ 0.38167611,  0.61832389]]))
('and', array([[ 0.38096121,  0.61903879]]))
('cock', array([[ 0.37687854,  0.62312146]]))
('pathetic', array([[ 0.3759863,  0.6240137]]))
('eat', array([[ 0.37110089,  0.62889911]]))
('she', array([[ 0.36965631,  0.63034369]]))
('against', array([[ 0.3640238,  0.6359762]]))
('jerk', array([[ 0.3619578,  0.6380422]]))
('sock', array([[ 0.36140501,  0.63859499]]))
('ha', array([[ 0.36077967,  0.63922033]]))
('guys', array([[ 0.35689809,  0.64310191]]))
('shame', array([[ 0.35129642,  0.64870358]]))
('man', array([[ 0.34849566,  0.65150434]]))
('like', array([[ 0.347648,  0.652352]]))
('idiots', array([[ 0.346801,  0.653199]]))
('ban', array([[ 0.34470929,  0.65529071]]))
('vandalising', array([[ 0.34321253,  0.65678747]]))
('silly', array([[ 0.34068275,  0.65931725]]))
('lies', array([[ 0.34015713,  0.65984287]]))
('im', array([[ 0.33792178,  0.66207822]]))
('cos', array([[ 0.33780612,  0.66219388]]))
('being', array([[ 0.33603918,  0.66396082]]))
('bullshit', array([[ 0.33359693,  0.66640307]]))
('faced', array([[ 0.33197336,  0.66802664]]))
('blocked', array([[ 0.33185542,  0.66814458]]))
('bad', array([[ 0.32912772,  0.67087228]]))
('fag', array([[ 0.32832708,  0.67167292]]))
('aka', array([[ 0.32701531,  0.67298469]]))
('hitler', array([[ 0.32644949,  0.67355051]]))
('likes', array([[ 0.32632747,  0.67367253]]))
('because', array([[ 0.32322628,  0.67677372]]))
('liar', array([[ 0.32165247,  0.67834753]]))
('are', array([[ 0.32131095,  0.67868905]]))
('faggot', array([[ 0.31848194,  0.68151806]]))
('don', array([[ 0.31787652,  0.68212348]]))
('so', array([[ 0.31731461,  0.68268539]]))
('all', array([[ 0.31288963,  0.68711037]]))
('annoying', array([[ 0.31109503,  0.68890497]]))
('proof', array([[ 0.31082894,  0.68917106]]))
('calling', array([[ 0.31011717,  0.68988283]]))
('jews', array([[ 0.30842021,  0.69157979]]))
('god', array([[ 0.30802725,  0.69197275]]))
('loser', array([[ 0.30714849,  0.69285151]]))
('liars', array([[ 0.30593556,  0.69406444]]))
('fascist', array([[ 0.30544708,  0.69455292]]))
('never', array([[ 0.30069297,  0.69930703]]))
('mongo', array([[ 0.30009703,  0.69990297]]))
('gonna', array([[ 0.29951204,  0.70048796]]))
('will', array([[ 0.29798025,  0.70201975]]))
('worst', array([[ 0.29787607,  0.70212393]]))
('vandals', array([[ 0.29744373,  0.70255627]]))
('wing', array([[ 0.29702886,  0.70297114]]))
('giant', array([[ 0.29697975,  0.70302025]]))
('troll', array([[ 0.29598687,  0.70401313]]))
('fat', array([[ 0.29446123,  0.70553877]]))
('lol', array([[ 0.29258366,  0.70741634]]))
('piss', array([[ 0.29226089,  0.70773911]]))
('sex', array([[ 0.29215031,  0.70784969]]))
('whore', array([[ 0.29104085,  0.70895915]]))
('person', array([[ 0.29100307,  0.70899693]]))
('such', array([[ 0.29084779,  0.70915221]]))
('damn', array([[ 0.28770137,  0.71229863]]))
('ignorant', array([[ 0.28657818,  0.71342182]]))
('abusing', array([[ 0.28520397,  0.71479603]]))
('his', array([[ 0.2849727,  0.7150273]]))
('grow', array([[ 0.2826059,  0.7173941]]))
('homosexual', array([[ 0.28250324,  0.71749676]]))
('arrogant', array([[ 0.28190404,  0.71809596]]))
('rape', array([[ 0.28046296,  0.71953704]]))
('black', array([[ 0.27995145,  0.72004855]]))
('bet', array([[ 0.27725549,  0.72274451]]))
('site', array([[ 0.27714907,  0.72285093]]))
('sockpuppet', array([[ 0.27652455,  0.72347545]]))
('re', array([[ 0.27522227,  0.72477773]]))
('weeks', array([[ 0.2748982,  0.7251018]]))
('lying', array([[ 0.27488707,  0.72511293]]))
('vandalizing', array([[ 0.27454685,  0.72545315]]))
('warning', array([[ 0.27408565,  0.72591435]]))
('bastard', array([[ 0.27357041,  0.72642959]]))
('blocking', array([[ 0.2718108,  0.7281892]]))
('smells', array([[ 0.27173765,  0.72826235]]))
('personal', array([[ 0.27144099,  0.72855901]]))
('attack', array([[ 0.26561551,  0.73438449]]))
('listen', array([[ 0.2648517,  0.7351483]]))
('islam', array([[ 0.26481326,  0.73518674]]))
('huh', array([[ 0.26456406,  0.73543594]]))
('quit', array([[ 0.26434657,  0.73565343]]))
('puppets', array([[ 0.2622833,  0.7377167]]))
('come', array([[ 0.26069738,  0.73930262]]))
('poop', array([[ 0.25986562,  0.74013438]]))
('edits', array([[ 0.25947876,  0.74052124]]))
('insult', array([[ 0.25933831,  0.74066169]]))
('funny', array([[ 0.25908443,  0.74091557]]))
('balls', array([[ 0.259018,  0.740982]]))
('insults', array([[ 0.25809653,  0.74190347]]))
('individual', array([[ 0.25788466,  0.74211534]]))
('try', array([[ 0.25758338,  0.74241662]]))
('governor', array([[ 0.25743142,  0.74256858]]))
('blah', array([[ 0.25723789,  0.74276211]]))
('play', array([[ 0.2566093,  0.7433907]]))
('font', array([[ 0.25576045,  0.74423955]]))
('whatever', array([[ 0.25518313,  0.74481687]]))
('bunch', array([[ 0.25486028,  0.74513972]]))
('editors', array([[ 0.25334391,  0.74665609]]))
